assignment_id,project_id,employee_id,assigned_role,contribution_score,role,experience_years,skills,availability,category,start_date,end_date,complexity,required_skills,skill_match,xgb_clase,xgb_senior_match
A0097,P0008,1500,Production Technician I,54.7,Production Technician I,5,"['Mantenimiento', 'Control de Calidad', 'Negociación']",Disponible,Recursos Humanos,2024-04-10,2024-06-25,5,"['Comunicación', 'Coaching', 'Liderazgo', 'Reclutamiento', 'Capacitación']",0.0,0,0
A0098,P0009,2228,IT Support,74.3,IT Support,6,"['Seguridad Informática', 'Python', 'Negociación']",No disponible,Finanzas,2023-11-05,2024-04-16,5,"['Análisis de Datos', 'Forecasting', 'Excel', 'Power BI', 'Contabilidad']",0.0,0,0
A0099,P0009,1617,Production Technician I,68.7,Production Technician I,2,"['Calibración', 'Mantenimiento', 'Liderazgo']",Disponible,Finanzas,2023-11-05,2024-04-16,5,"['Análisis de Datos', 'Forecasting', 'Excel', 'Power BI', 'Contabilidad']",0.0,0,0
A0100,P0009,2244,IT Manager - Support,73.6,Otro,2,"['Mantenimiento', 'Rutas de Distribución', 'Reclutamiento']",Disponible,Finanzas,2023-11-05,2024-04-16,5,"['Análisis de Datos', 'Forecasting', 'Excel', 'Power BI', 'Contabilidad']",0.0,0,0
A0101,P0009,3678,Production Technician I,74.3,Production Technician I,3,"['Control de Calidad', 'Mantenimiento', 'Resolución de Conflictos']",Disponible,Finanzas,2023-11-05,2024-04-16,5,"['Análisis de Datos', 'Forecasting', 'Excel', 'Power BI', 'Contabilidad']",0.0,0,0
A0102,P0009,2932,Production Technician I,62.4,Production Technician I,3,"['Calibración', 'Mantenimiento', 'Trabajo en Equipo']",No disponible,Finanzas,2023-11-05,2024-04-16,5,"['Análisis de Datos', 'Forecasting', 'Excel', 'Power BI', 'Contabilidad']",0.0,0,0
A0103,P0009,1544,Production Technician I,70.8,Production Technician I,4,"['Calibración', 'Mantenimiento', 'Capacitación']",No disponible,Finanzas,2023-11-05,2024-04-16,5,"['Análisis de Datos', 'Forecasting', 'Excel', 'Power BI', 'Contabilidad']",0.0,0,0
A0104,P0009,1838,Production Technician I,61.7,Production Technician I,5,"['Calibración', 'Mantenimiento', 'Coaching']",Disponible,Finanzas,2023-11-05,2024-04-16,5,"['Análisis de Datos', 'Forecasting', 'Excel', 'Power BI', 'Contabilidad']",0.0,0,0
A0105,P0009,2540,Software Engineering Manager,75.0,Otro,2,"['Logística', 'HTML', 'Presentaciones']",No disponible,Finanzas,2023-11-05,2024-04-16,5,"['Análisis de Datos', 'Forecasting', 'Excel', 'Power BI', 'Contabilidad']",0.0,0,0
A0106,P0009,3835,IT Support,61.7,IT Support,6,"['SQL', 'Seguridad Informática', 'Adaptabilidad']",No disponible,Finanzas,2023-11-05,2024-04-16,5,"['Análisis de Datos', 'Forecasting', 'Excel', 'Power BI', 'Contabilidad']",0.0,0,0
A0107,P0009,3006,Production Technician II,62.4,Production Technician II,2,"['Sistemas Operativos', 'Planificación', 'Capacitación']",Disponible,Finanzas,2023-11-05,2024-04-16,5,"['Análisis de Datos', 'Forecasting', 'Excel', 'Power BI', 'Contabilidad']",0.0,0,0
A0108,P0009,2681,Area Sales Manager,67.0,Area Sales Manager,4,"['Seguridad Informática', 'Análisis de Datos', 'Análisis de Mercado']",No disponible,Finanzas,2023-11-05,2024-04-16,5,"['Análisis de Datos', 'Forecasting', 'Excel', 'Power BI', 'Contabilidad']",0.2,0,0
A0109,P0009,3479,Area Sales Manager,70.8,Area Sales Manager,2,"['Control de Calidad', 'Calibración', 'Comunicación']",No disponible,Finanzas,2023-11-05,2024-04-16,5,"['Análisis de Datos', 'Forecasting', 'Excel', 'Power BI', 'Contabilidad']",0.0,0,0
A0110,P0009,1071,Software Engineer,67.3,Software Engineer,5,"['Calibración', 'Logística', 'Adaptabilidad']",No disponible,Finanzas,2023-11-05,2024-04-16,5,"['Análisis de Datos', 'Forecasting', 'Excel', 'Power BI', 'Contabilidad']",0.0,0,0
A0111,P0009,2190,Production Technician II,67.3,Production Technician II,1,"['Análisis de Datos', 'HTML', 'Trabajo en Equipo']",No disponible,Finanzas,2023-11-05,2024-04-16,5,"['Análisis de Datos', 'Forecasting', 'Excel', 'Power BI', 'Contabilidad']",0.2,0,0
A0112,P0009,3203,Production Technician I,61.0,Production Technician I,3,"['Calibración', 'Mantenimiento', 'Liderazgo']",No disponible,Finanzas,2023-11-05,2024-04-16,5,"['Análisis de Datos', 'Forecasting', 'Excel', 'Power BI', 'Contabilidad']",0.0,0,0
